Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
SW1279,45.0,14.0,3,0,5114.0,0.0,98.0,0.0
EJ1501,44.5,10.0,1,0,3653.0,0.0,98.0,0.0
MS8822,46.0,16.0,1,0,5844.0,0.0,98.0,0.0
RT5602,43.0,3.0,0,0,1096.0,0.0,98.0,0.0
RT9498,44.0,14.0,1,0,5187.0,0.0,98.0,0.0
HS0881,43.0,11.0,2,0,4017.0,0.0,98.0,0.0
DF1947,34.5,9.0,9,1,3287.0,0.0,-182.0,0.2222222222222222
ZZ5864,32.0,3.0,0,0,1096.0,0.18604651162790697,98.0,0.0
NG7633,32.5,5.0,1,0,1826.0,0.0,98.0,0.0
SJ1687,41.5,1.0,4,0,365.0,0.0,98.0,0.0
TF3524,43.5,12.0,2,1,4281.0,0.0,-150.0,0.2222222222222222
GJ2814,40.5,4.0,0,0,1461.0,0.0,98.0,0.0
DO6709,43.0,22.0,4,0,8036.0,0.0,98.0,0.0
ON4789,43.5,2.0,4,1,731.0,-0.3925798101811907,-89.0,0.2222222222222222
KE5551,44.5,4.0,2,0,1461.0,0.19933953767637339,98.0,0.0
BE8409,32.0,4.0,1,0,1461.0,0.0,98.0,0.0
BU8157,46.0,10.0,1,0,3650.0,0.0,98.0,0.0
IZ4074,34.5,5.0,2,0,1826.0,0.19933953767637339,98.0,0.0
WV5806,42.0,4.0,5,1,1461.0,0.0,-89.0,0.2222222222222222
ML3776,34.0,22.0,1,1,8190.0,0.0,122.0,0.2222222222222222
RG8048,43.5,14.0,2,0,5254.0,0.0,98.0,0.0
YK5635,35.5,10.0,3,0,3653.0,0.0,98.0,0.0
KP0325,33.0,4.0,2,0,1461.0,0.33211070356785605,98.0,0.0
XR5507,35.0,10.0,1,0,3653.0,0.0,98.0,0.0
